LST	all	br	gray	dark	visits_HETDEX
12.666666666666671	0.0	0.0	0.0	0.0	74.0
12.683333333333339	0.0	0.0	0.0	0.0	73.0
12.700000000000005	0.0	0.0	0.0	0.0	71.5
12.716666666666672	0.0	0.0	0.0	0.0	72.5
12.733333333333338	0.0	0.0	0.0	0.0	73.5
12.750000000000005	0.0	0.0	0.0	0.0	73.5
12.766666666666673	0.0	0.0	0.0	0.0	74.5
12.783333333333339	0.0	0.0	0.0	0.0	75.0
12.800000000000006	0.0	0.0	0.0	0.0	76.0
12.816666666666672	0.0	0.0	0.0	0.0	77.5
12.83333333333334	0.0	0.0	0.0	0.0	78.5
12.850000000000005	0.0	0.0	0.0	0.0	79.5
12.866666666666672	0.0	0.0	0.0	0.0	79.5
12.88333333333334	0.0	0.0	0.0	0.0	79.0
12.900000000000006	0.0	0.0	0.0	0.0	79.0
12.916666666666673	0.0	0.0	0.0	0.0	79.5
12.933333333333339	0.0	0.0	0.0	0.0	80.0
12.950000000000006	0.0	0.0	0.0	0.0	82.0
12.966666666666672	0.0	0.0	0.0	0.0	81.0
12.98333333333334	0.0	0.0	0.0	0.0	80.5
13.000000000000007	0.0	0.0	0.0	0.0	81.5
13.016666666666673	0.0	0.0	0.0	0.0	81.5
13.033333333333339	0.0	0.0	0.0	0.0	82.0
13.050000000000006	0.0	0.0	0.0	0.0	82.5
13.066666666666674	0.0	0.0	0.0	0.0	82.0
13.08333333333334	0.0	0.0	0.0	0.0	82.0
13.100000000000007	0.0	0.0	0.0	0.0	82.0
13.116666666666674	0.0	0.0	0.0	0.0	82.0
13.13333333333334	0.0	0.0	0.0	0.0	81.0
13.150000000000006	0.0	0.0	0.0	0.0	80.0
13.166666666666673	0.0	0.0	0.0	0.0	77.5
13.18333333333334	0.0	0.0	0.0	0.0	77.5
13.200000000000006	0.0	0.0	0.0	0.0	77.5
13.216666666666674	0.0	0.0	0.0	0.0	77.0
13.233333333333341	0.0	0.0	0.0	0.0	77.5
13.250000000000007	0.0	0.0	0.0	0.0	75.5
13.266666666666673	0.0	0.0	0.0	0.0	74.5
13.28333333333334	0.0	0.0	0.0	0.0	75.0
13.300000000000008	0.0	0.0	0.0	0.0	75.0
13.316666666666674	0.0	0.0	0.0	0.0	73.0
13.333333333333341	0.0	0.0	0.0	0.0	70.5
13.350000000000007	0.0	0.0	0.0	0.0	67.5
13.366666666666674	0.0	0.0	0.0	0.0	66.5
13.38333333333334	0.0	0.0	0.0	0.0	64.5
13.400000000000007	0.0	0.0	0.0	0.0	62.0
13.416666666666675	0.0	0.0	0.0	0.0	60.5
13.43333333333334	0.0	0.0	0.0	0.0	59.0
13.450000000000008	0.0	0.0	0.0	0.0	57.5
13.466666666666674	0.0	0.0	0.0	0.0	56.5
13.483333333333341	0.0	0.0	0.0	0.0	56.0
13.500000000000007	0.0	0.0	0.0	0.0	56.0
13.516666666666675	0.0	0.0	0.0	0.0	56.0
13.533333333333342	0.0	0.0	0.0	0.0	57.5
13.550000000000008	0.0	0.0	0.0	0.0	58.0
13.566666666666674	0.0	0.0	0.0	0.0	60.0
13.583333333333341	0.0	0.0	0.0	0.0	60.0
13.600000000000009	0.0	0.0	0.0	0.0	61.5
13.616666666666674	0.0	0.0	0.0	0.0	63.0
13.633333333333342	0.0	0.0	0.0	0.0	65.0
13.65000000000001	0.0	0.0	0.0	0.0	68.0
13.666666666666675	0.0	0.0	0.0	0.0	70.5
13.68333333333334	0.0	0.0	0.0	0.0	73.0
13.700000000000008	0.0	0.0	0.0	0.0	74.0
13.716666666666676	0.0	0.0	0.0	0.0	77.5
13.733333333333341	0.0	0.0	0.0	0.0	78.0
13.750000000000009	0.0	0.0	0.0	0.0	82.0
13.766666666666676	0.0	0.0	0.0	0.0	85.0
13.783333333333342	0.0	0.0	0.0	0.0	86.5
13.800000000000008	0.0	0.0	0.0	0.0	88.5
13.816666666666675	0.0	0.0	0.0	0.0	90.0
13.833333333333343	0.0	0.0	0.0	0.0	92.5
13.850000000000009	0.0	0.0	0.0	0.0	94.5
13.866666666666676	0.0	0.0	0.0	0.0	96.0
13.883333333333342	0.0	0.0	0.0	0.0	96.0
13.90000000000001	0.0	0.0	0.0	0.0	97.5
13.916666666666675	0.0	0.0	0.0	0.0	98.5
