LST	all	br	grey	dark	visits_HETDEX
2.600000000000005	0.0	0.0	0.0	0.0	44.0
2.6166666666666716	0.0	0.0	0.0	0.0	42.0
2.633333333333338	0.0	0.0	0.0	0.0	42.0
2.6500000000000052	0.0	0.0	0.0	0.0	42.0
2.666666666666672	0.0	0.0	0.0	0.0	43.0
2.6833333333333385	0.0	0.0	0.0	0.0	44.0
2.7000000000000055	0.0	0.0	0.0	0.0	43.0
2.716666666666672	0.0	0.0	0.0	0.0	44.0
2.7333333333333387	0.0	0.0	0.0	0.0	44.0
2.7500000000000053	0.0	0.0	0.0	0.0	46.0
2.766666666666672	0.0	0.0	0.0	0.0	47.0
2.783333333333339	0.0	0.0	0.0	0.0	49.0
2.8000000000000056	0.0	0.0	0.0	0.0	49.0
2.816666666666672	0.0	0.0	0.0	0.0	49.0
2.8333333333333393	0.0	0.0	0.0	0.0	48.0
2.850000000000006	0.0	0.0	0.0	0.0	50.0
2.8666666666666725	0.0	0.0	0.0	0.0	51.0
2.883333333333339	0.0	0.0	0.0	0.0	54.0
2.9000000000000057	0.0	0.0	0.0	0.0	54.0
2.9166666666666727	0.0	0.0	0.0	0.0	58.0
2.9333333333333393	0.0	0.0	0.0	0.0	57.0
2.950000000000006	0.0	0.0	0.0	0.0	58.0
2.966666666666673	0.0	0.0	0.0	0.0	57.0
2.9833333333333396	0.0	0.0	0.0	0.0	56.0
3.000000000000006	0.0	0.0	0.0	0.0	57.0
3.016666666666673	0.0	0.0	0.0	0.0	58.0
3.0333333333333394	0.0	0.0	0.0	0.0	58.0
3.0500000000000065	0.0	0.0	0.0	0.0	59.0
3.066666666666673	0.0	0.0	0.0	0.0	57.0
3.0833333333333397	0.0	0.0	0.0	0.0	55.0
3.1000000000000068	0.0	0.0	0.0	0.0	54.0
3.1166666666666734	0.0	0.0	0.0	0.0	55.0
3.13333333333334	0.0	0.0	0.0	0.0	53.0
3.1500000000000066	0.0	0.0	0.0	0.0	50.0
3.166666666666673	0.0	0.0	0.0	0.0	49.0
3.1833333333333402	0.0	0.0	0.0	0.0	48.0
3.200000000000007	0.0	0.0	0.0	0.0	47.0
3.2166666666666734	0.0	0.0	0.0	0.0	45.0
3.2333333333333405	0.0	0.0	0.0	0.0	46.0
3.250000000000007	0.0	0.0	0.0	0.0	45.0
3.2666666666666737	0.0	0.0	0.0	0.0	43.0
3.2833333333333403	0.0	0.0	0.0	0.0	42.0
3.300000000000007	0.0	0.0	0.0	0.0	42.0
3.316666666666674	0.0	0.0	0.0	0.0	39.0
3.3333333333333406	0.0	0.0	0.0	0.0	39.0
3.350000000000007	0.0	0.0	0.0	0.0	40.0
3.3666666666666742	0.0	0.0	0.0	0.0	39.0
3.383333333333341	0.0	0.0	0.0	0.0	37.0
3.4000000000000075	0.0	0.0	0.0	0.0	35.0
3.416666666666674	0.0	0.0	0.0	0.0	32.0
3.4333333333333407	0.0	0.0	0.0	0.0	30.0
3.4500000000000077	0.0	0.0	0.0	0.0	26.0
3.4666666666666743	0.0	0.0	0.0	0.0	26.0
3.483333333333341	0.0	0.0	0.0	0.0	24.0
3.500000000000008	0.0	0.0	0.0	0.0	23.0
3.5166666666666746	0.0	0.0	0.0	0.0	19.0
3.533333333333341	0.0	0.0	0.0	0.0	19.0
3.550000000000008	0.0	0.0	0.0	0.0	19.0
3.5666666666666744	0.0	0.0	0.0	0.0	18.0
3.5833333333333415	0.0	0.0	0.0	0.0	16.0
3.600000000000008	0.0	0.0	0.0	0.0	15.0
3.6166666666666747	0.0	0.0	0.0	0.0	14.0
3.6333333333333417	0.0	0.0	0.0	0.0	12.0
3.6500000000000083	0.0	0.0	0.0	0.0	10.0
3.666666666666675	0.0	0.0	0.0	0.0	10.0
3.6833333333333416	0.0	0.0	0.0	0.0	7.0
3.700000000000008	0.0	0.0	0.0	0.0	5.0
3.7166666666666752	0.0	0.0	0.0	0.0	4.0
3.733333333333342	0.0	0.0	0.0	0.0	3.0
3.7500000000000084	0.0	0.0	0.0	0.0	0.0
3.7666666666666755	0.0	0.0	0.0	0.0	0.0
3.783333333333342	0.0	0.0	0.0	0.0	0.0
3.8000000000000087	0.0	0.0	0.0	0.0	0.0
3.8166666666666753	0.0	0.0	0.0	0.0	0.0
3.833333333333342	0.0	0.0	0.0	0.0	0.0
3.850000000000009	0.0	0.0	0.0	0.0	0.0
3.8666666666666756	0.0	0.0	0.0	0.0	0.0
3.883333333333342	0.0	0.0	0.0	0.0	0.0
3.9000000000000092	0.0	0.0	0.0	0.0	0.0
3.916666666666676	0.0	0.0	0.0	0.0	0.0
3.9333333333333425	0.0	0.0	0.0	0.0	0.0
3.950000000000009	0.0	0.0	0.0	0.0	0.0
3.9666666666666757	0.0	0.0	0.0	0.0	0.0
3.9833333333333427	0.0	0.0	0.0	0.0	0.0
4.000000000000009	0.0	0.0	0.0	0.0	0.0
4.016666666666676	0.0	0.0	0.0	0.0	0.0
4.033333333333343	0.0	0.0	0.0	0.0	0.0
4.05000000000001	0.0	0.0	0.0	0.0	0.0
4.066666666666676	0.0	0.0	0.0	0.0	0.0
4.083333333333343	0.0	0.0	0.0	0.0	0.0
4.100000000000009	0.0	0.0	0.0	0.0	0.0
4.116666666666676	0.0	0.0	0.0	0.0	0.0
